about1,about2,about_family,age2,birth1,birth2,birth3,birth4,body1,body2,brothers,caste1,caste2,city2,college,complexion1,complexion2,created_for,degree,details,drinking1,drinking2,eating1,eating2,education2,employed1,employed2,family_type1,family_type2,father,fields,gotra,have_children,height1,height2,horoscope,income1,income2,last_login,living,manglik1,manglik2,marital_status1,marital_status2,mother,mother1,mother2,nakshatra,occupation,profileID,raasi,religion1,religion2,sisters,smoking1,smoking2,special1,special2,status1,status2,subcaste,url,values1,values2,weight1,weight2
"God fearing and honest, i am looking for honest person.",,,38 to 53,10 Apr 1960,,Sweden,,Average,,0 brothers ,Catholic,Catholic,,,Fair ,,Self,BE B.Tech (Engineering),"53 yrs, 5ft 11in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							BE B.Tech (Engineering), 				
					
						  	
					 
					
					Hartlepool,
					 United Kingdom",No,,Non Vegetarian,,,Private Sector,,Joint family only father,,,Civil,,No,5ft 11in,5ft 2in to 5ft 11in,,POUND Don't wish to specify,,"
						12 Nov 2013",No,No,,Widowed,Doesn't Matter,,English,"Hindi,English",,,SMM1759182,,Christian,Christian,0 sisters ,No,,None,,High Class,,Christian - Roman Catholic,,Traditional,,75 Pounds,
"I'm easy going, straight forward, funny and caring. I am Catholic and have the fear of God.",,,39 to 44,27 Jan 1960,,,,Average,,1 brother ,Catholic,Catholic,,,Wheatish ,,Self,B.Sc (Science),"53 yrs, 5ft 8in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Jaipur,
					 India",Occasionally,,Non Vegetarian,,,Others,,Others,,Passed,,,Yes,5ft 8in,4ft 11in to 5ft 8in,,INR Don't wish to specify,,"
						11 Nov 2013",No,No,,Widowed,Doesn't Matter,Retired,English,"Hindi,English",,Business Owner / Entrepreneur,SMM1759628,,Christian,Christian,0 sisters ,No,,None,,,,Christian - Roman Catholic,,Others,,,
I am a balanced person (heart and mind) a good decision taker and likes adventure.,,,48 to 53,10 Jan 1960,,India,,,,0 brothers ,Catholic,Catholic,,,Fair ,,Self,B.Arch (Architecture),"53 yrs, 5ft 8in,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							B.Arch (Architecture), 				
					
						  	
					 
					
					United Kingdom",Occasionally,,Non Vegetarian,,,Private Sector,,Nuclear,,Passed,,,Yes,5ft 8in,4ft 11in to 5ft 8in,,INR Don't wish to specify,,"
						07 Nov 2013",No,No,,Widowed,Doesn't Matter,Retired,English,"Hindi,English",,,SMM1757643,,Christian,Christian,0 sisters ,No,,None,,Rich / Affluent,,Christian - Roman Catholic,,Modern,,,
"I am simple, honest, sincere and straightforward person with modern outlook. I am punjabi brahmin born to displaced family of west Pakistan, settled in Delhi after Partition. Both daughter and son married. Working after retirement from Bank as adviser in Human Resources &amp; Employment Laws in a Law Firm at Delhi.",,,57 to 62,01 Nov 1950,,,,Average,,,Brahmin,Brahmin,,,Fair ,,Self,MA (Arts),"63 yrs, 5ft 6in,<br />
					
					
													
						Brahmin,
					
					
													
						Hindu, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							MA (Arts), 				
					
						  	
					
					Human Resource, <br />
					 
					
					Delhi,
					 India",Occasionally,,Vegetarian,,,Private Sector,,,,,Human Resource Management,,Yes,5ft 6in,4ft 8in to 5ft 6in,,INR 5 lakhs to 7 lakhs,,"
						10 Nov 2013",,No,No,Widowed,Doesn't Matter,,Hindi,Hindi,,Human Resource,SMM1755367,,Hindu,Hindu,,No,,None,,,,,,,,,
I am a kind hearten person living very satisfactory life.,,,46 to 51,02 Feb 1962,04:15:00,India,Bagpat,Average,,,Digambar,Digambar,,,Wheatish ,,Self,MBA/PGDM,"51 yrs, 5ft 5in,<br />
					
					
													
						Digambar,
					
					
													
						Jain, 
						
					
						
						Hindi ,<br />
																							
					
					
					
				
					
							MBA/PGDM, 				
					
						  	
					
					Finance and Accounts, <br />
					 
					
					Noida,
					 India",No,Doesn't Matter,Vegetarian With Eggs,Doesn't Matter,Doesn't Matter,Private Sector,Doesn't Matter,Nuclear,,,Finance,,Yes,5ft 5in,4ft 7in to 5ft 5in,,INR 7 lakhs to 10 lakhs,Doesn't Matter,"
						08 Nov 2013",,No,,Widowed,Doesn't Matter,,Hindi,Hindi,,Finance and Accounts,SMM1752259,,Jain,Jain,,Moderate,Doesn't Matter,None,,Doesn't Matter,,Jain - Agarwal,,,Liberal,74 Kgs,
"I am an honest, caring, fun loving, religious Muslim with modern outlook. Software consultant working as an head of the IT Department in the reputed Saudi Arabian company, basically from South India, Urdu speaking.","Educated, religious, good looking, caring from decent family.",,30 to 45,08 Apr 1960,,,,,,,Sunni,Sunni,,,Wheatish ,,Self,B.Sc (Science),"53 yrs, 5ft 7in,<br />
					
					
													
						Sunni,
					
					
													
						Muslim, 
						
					
						
						Urdu ,<br />
																							
					
					
					
				
					
							B.Sc (Science), 				
					
						  	
					
					IT, <br />
					 
					
					Riyadh,
					 Saudi Arabia",No,,Non Vegetarian,,,Private Sector,,,,,Computer Science,,Yes,5ft 7in,4ft 9in to 5ft 7in,,INR 15 lakhs to 20 lakhs,,"
						11 Nov 2013",,No,,Widowed,Doesn't Matter,,Urdu,"Hindi,Urdu",,IT,SMM1747517,,Muslim,Muslim,,No,,None,,,,Muslim - Hanafi,,,,,
"I'm Rajendra and am looking for a social, moderate, understanding and lovable life partner.",,,38 to 48,15 Dec 1960,,,,,,0 brothers ,Vokkaliga,Vokkaliga,,,Very Fair ,,Self,B.A. (Arts),"52 yrs, 5ft 9in,<br />
					
					
													
						Vokkaliga,
					
					
													
						Hindu, 
						
					
						
						Kannada ,<br />
																							
					
					
					
				
					
							B.A. (Arts), 				
					
						  	
					
					Business Owner / Entrepreneur, <br />
					 
					
					Bangalore,
					 India",Occasionally,,Non Vegetarian,,,Others,,,,,,,Yes,5ft 9in,5ft to 5ft 9in,,INR 20 lakhs to 25 lakhs,,"
						11 Nov 2013",,Do Not Know,Do Not Know,Divorced,Doesn't Matter,,Kannada,"Coorgi,Kannada",,Business Owner / Entrepreneur,SMM1745597,,Hindu,Hindu,0 sisters ,No,,None,,,,,,,,,
I am a nice guy and a gentleman.,,,46 to 51,11 Sep 1962,,,,Athletic,,0 brothers ,Catholic,Catholic,,,Fair ,,Self,Pilot Licenses,"51 yrs, 6ft,<br />
					
					
													
						Catholic,
					
					
													
						Christian, 
						
					
						
						English ,<br />
																							
					
					
					
				
					
							Pilot Licenses, 				
					
						  	
					
					Civil Services / Law Enforcement, <br />
					 
					
					San Diego,
					 United States of America",Occasionally,,Non Vegetarian,,,Central Government,,Nuclear,,Retired,CPL (Commercial Pilot License),,Yes,6ft,5ft 3in to 6ft,,US$ $60k to 80k,,"
						11 Nov 2013",No,No,,Widowed,Doesn't Matter,Passed,English,"Hindi,English",,Civil Services / Law Enforcement,SMM1744382,,Christian,Christian,0 sisters ,Moderate,,None,,High Class,,Christian - Roman Catholic,,International,,,
"I am a Professor of Preventive and Social Medicine, native of Maharashtra but currently working in reputed Institute of Medical Sciences, Andhra Pradesh.","I am in search of a educated, understanding, caring and loving soulmate. ","We are a respectable, nuclear family.",45 to 55,02 Aug 1954,00:10:00,India,Akola,Athletic,,1 brother ,Maratha,Maratha,,"Grants Medical College (GMC), Mumbai",Wheatish ,,Self,MD/ MS (Medicine),"59 yrs, 5ft 10in,<br />
					
					
													
						Maratha,
					
					
													
						Hindu, 
						
					
						
						Marathi ,<br />
																							
					
					
					
				
					
							MD/ MS (Medicine), 				
					
						  	
					
					Health Care, <br />
					 
					
					Nagpur,
					 India",No,,Vegetarian With Eggs,,,Private Sector,,Nuclear,,Passed,Other MD/ MS (Medicine),Kashyap,Yes,5ft 10in,5ft 1in to 5ft 10in,,INR 10 lakhs  to 15 lakhs,,"
						08 Nov 2013",,No,No,Widowed,Doesn't Matter,Passed,Marathi,"Hindi,Marathi",Shravan/ Thiruvonam,Health Care,SMM1743253,Capricorn,Hindu,Hindu,1 sister ,No,,None,,Upper Middle Class,,96 Kuli,,Moderate,,80 Kgs,
"Single Male child born with four Sisters, all got married well settled. Parents no more. I am Registered Homeopathic Practitioner and a Instant Healer. Offering Healing Services for the Clients of my city and outstation callers. Never married, love to have a Healthy and warm Heart life partner.",,"Born as a single Male with four Sisters, all are married and well settled. Parents are no more.",54 to 59,10 Oct 1954,,India,,Average,,0 brothers ,Brahmin - Iyer,Brahmin - Iyer,,,Wheatish ,,Self,Other Diploma,"59 yrs, 5ft 9in,<br />
					
					
													
						Brahmin - Iyer,
					
					
													
						Hindu, 
						
					
						
						Tamil ,<br />
																							
					
					
					
				
					
							Other Diploma, 				
					
						  	
					
					Health Care, <br />
					 
					
					Chennai,
					 India",No,,Vegetarian,,,Others,,Nuclear,,Passed,Homeopathy,KOUSIKAM,No,5ft 9in,5ft to 5ft 9in,Yes,INR 3 lakhs to 4 lakhs,,"
						10 Nov 2013",,No,No,Never Married,Never Married,Passed,Tamil,"Malayalam,Tamil",Poorvabadrapada/ Puratathi,Health Care,SMM1740501,Aquarius,Hindu,Hindu,4 sisters ,No,,None,,Middle Class,,Vadama,,Moderate,,,
